name	type	units	description	original_ch_numbers
EEG038	EEG	µV	g.Pangolin EEG electrode 038	37
EEG039	EEG	µV	g.Pangolin EEG electrode 039	38
EEG040	EEG	µV	g.Pangolin EEG electrode 040	39
EEG041	EEG	µV	g.Pangolin EEG electrode 041	40
EEG042	EEG	µV	g.Pangolin EEG electrode 042	41
EEG043	EEG	µV	g.Pangolin EEG electrode 043	42
EEG044	EEG	µV	g.Pangolin EEG electrode 044	43
EEG045	EEG	µV	g.Pangolin EEG electrode 045	44
EEG046	EEG	µV	g.Pangolin EEG electrode 046	45
EEG047	EEG	µV	g.Pangolin EEG electrode 047	46
EEG048	EEG	µV	g.Pangolin EEG electrode 048	47
EEG049	EEG	µV	g.Pangolin EEG electrode 049	48
EEG050	EEG	µV	g.Pangolin EEG electrode 050	49
EEG051	EEG	µV	g.Pangolin EEG electrode 051	50
EEG052	EEG	µV	g.Pangolin EEG electrode 052	51
EEG053	EEG	µV	g.Pangolin EEG electrode 053	52
EEG054	EEG	µV	g.Pangolin EEG electrode 054	53
EEG055	EEG	µV	g.Pangolin EEG electrode 055	54
EEG056	EEG	µV	g.Pangolin EEG electrode 056	55
EEG057	EEG	µV	g.Pangolin EEG electrode 057	56
EEG058	EEG	µV	g.Pangolin EEG electrode 058	57
EEG059	EEG	µV	g.Pangolin EEG electrode 059	58
EEG060	EEG	µV	g.Pangolin EEG electrode 060	59
EEG061	EEG	µV	g.Pangolin EEG electrode 061	60
EEG062	EEG	µV	g.Pangolin EEG electrode 062	61
EEG063	EEG	µV	g.Pangolin EEG electrode 063	62
EEG064	EEG	µV	g.Pangolin EEG electrode 064	63
EEG065	EEG	µV	g.Pangolin EEG electrode 065	64
EEG066	EEG	µV	g.Pangolin EEG electrode 066	65
EEG067	EEG	µV	g.Pangolin EEG electrode 067	66
EEG068	EEG	µV	g.Pangolin EEG electrode 068	67
EEG069	EEG	µV	g.Pangolin EEG electrode 069	68
EEG070	EEG	µV	g.Pangolin EEG electrode 070	69
EEG071	EEG	µV	g.Pangolin EEG electrode 071	70
EEG072	EEG	µV	g.Pangolin EEG electrode 072	71
EEG073	EEG	µV	g.Pangolin EEG electrode 073	72
EEG074	EEG	µV	g.Pangolin EEG electrode 074	73
EEG075	EEG	µV	g.Pangolin EEG electrode 075	74
EEG076	EEG	µV	g.Pangolin EEG electrode 076	75
EEG077	EEG	µV	g.Pangolin EEG electrode 077	76
EEG078	EEG	µV	g.Pangolin EEG electrode 078	77
EEG079	EEG	µV	g.Pangolin EEG electrode 079	78
EEG080	EEG	µV	g.Pangolin EEG electrode 080	79
EEG081	EEG	µV	g.Pangolin EEG electrode 081	80
EEG082	EEG	µV	g.Pangolin EEG electrode 082	81
EEG083	EEG	µV	g.Pangolin EEG electrode 083	82
EEG084	EEG	µV	g.Pangolin EEG electrode 084	83
EEG085	EEG	µV	g.Pangolin EEG electrode 085	84
EEG086	EEG	µV	g.Pangolin EEG electrode 086	85
EEG087	EEG	µV	g.Pangolin EEG electrode 087	86
EEG088	EEG	µV	g.Pangolin EEG electrode 088	87
EEG089	EEG	µV	g.Pangolin EEG electrode 089	88
EEG090	EEG	µV	g.Pangolin EEG electrode 090	89
EEG091	EEG	µV	g.Pangolin EEG electrode 091	90
EEG092	EEG	µV	g.Pangolin EEG electrode 092	91
EEG093	EEG	µV	g.Pangolin EEG electrode 093	92
EEG094	EEG	µV	g.Pangolin EEG electrode 094	93
EEG095	EEG	µV	g.Pangolin EEG electrode 095	94
EEG096	EEG	µV	g.Pangolin EEG electrode 096	95
EEG097	EEG	µV	g.Pangolin EEG electrode 097	96
EEG098	EEG	µV	g.Pangolin EEG electrode 098	97
EEG099	EEG	µV	g.Pangolin EEG electrode 099	98
EEG100	EEG	µV	g.Pangolin EEG electrode 100	99
EEG101	EEG	µV	g.Pangolin EEG electrode 101	100
EEG102	EEG	µV	g.Pangolin EEG electrode 102	101
EEG103	EEG	µV	g.Pangolin EEG electrode 103	102
EEG104	EEG	µV	g.Pangolin EEG electrode 104	103
EEG105	EEG	µV	g.Pangolin EEG electrode 105	104
EEG106	EEG	µV	g.Pangolin EEG electrode 106	105
EEG107	EEG	µV	g.Pangolin EEG electrode 107	106
EEG108	EEG	µV	g.Pangolin EEG electrode 108	107
EEG109	EEG	µV	g.Pangolin EEG electrode 109	108
EEG110	EEG	µV	g.Pangolin EEG electrode 110	109
EEG111	EEG	µV	g.Pangolin EEG electrode 111	110
EEG112	EEG	µV	g.Pangolin EEG electrode 112	111
EEG113	EEG	µV	g.Pangolin EEG electrode 113	112
EEG114	EEG	µV	g.Pangolin EEG electrode 114	113
EEG115	EEG	µV	g.Pangolin EEG electrode 115	114
EEG116	EEG	µV	g.Pangolin EEG electrode 116	115
EEG117	EEG	µV	g.Pangolin EEG electrode 117	116
EEG118	EEG	µV	g.Pangolin EEG electrode 118	117
EEG119	EEG	µV	g.Pangolin EEG electrode 119	118
EEG120	EEG	µV	g.Pangolin EEG electrode 120	119
EEG121	EEG	µV	g.Pangolin EEG electrode 121	120
EEG122	EEG	µV	g.Pangolin EEG electrode 122	121
EEG123	EEG	µV	g.Pangolin EEG electrode 123	122
EEG124	EEG	µV	g.Pangolin EEG electrode 124	123
EEG125	EEG	µV	g.Pangolin EEG electrode 125	124
EEG126	EEG	µV	g.Pangolin EEG electrode 126	125
EEG127	EEG	µV	g.Pangolin EEG electrode 127	126
EEG128	EEG	µV	g.Pangolin EEG electrode 128	127
EEG129	MISC	µV	Listening audio monitor channel 1	128
EEG130	MISC	µV	Listening audio monitor channel 2	129
EEG131	MISC	µV	Speaking microphone monitor channel 1	130
EEG132	MISC	µV	Speaking microphone monitor channel 2	131
EEG133	EOG	µV	EOG electrode positive/input 1	132
EEG134	EOG	µV	EOG electrode negative/input 2	133
EEG135	EMG	µV	Upper-lip EMG electrode positive/input 1	134
EEG136	EMG	µV	Upper-lip EMG electrode negative/input 2	135
EEG137	EMG	µV	Lower-lip EMG electrode positive/input 1	136
EEG138	EMG	µV	Lower-lip EMG electrode negative/input 2	137
EEG139	TRIG	n/a	Trigger channel	138
